               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,    metrics/Tank_mAP, metrics/Tank_mAP_50
                  33,            0.036567,            0.017507,                   0,             0.90864,             0.91209,             0.94679,             0.61203,            0.037918,           0.0067257,                   0,             0.00472,             0.00472,             0.00472,             0.61203,             0.94679
                  34,            0.035607,            0.017194,                   0,             0.97373,             0.87912,             0.95445,             0.62911,            0.036848,           0.0065781,                   0,            0.004555,            0.004555,            0.004555,             0.62911,             0.95445
                  35,            0.046994,            0.016112,                   0,              0.9424,             0.89905,             0.95116,             0.50335,            0.036767,           0.0065394,                   0,             0.00439,             0.00439,             0.00439,             0.50335,             0.95116
                  36,            0.033982,            0.017913,                   0,             0.92427,             0.93888,             0.96116,              0.6744,            0.032655,           0.0063594,                   0,            0.004225,            0.004225,            0.004225,              0.6744,             0.96116
                  37,            0.031492,            0.016854,                   0,             0.95124,             0.93407,             0.96536,             0.64462,            0.032438,           0.0061972,                   0,             0.00406,             0.00406,             0.00406,             0.64462,             0.96536
                  38,            0.029716,            0.013722,                   0,             0.92288,              0.9206,             0.96188,             0.48648,             0.03623,           0.0062033,                   0,            0.003895,            0.003895,            0.003895,             0.48648,             0.96188
                  39,            0.033666,            0.016177,                   0,             0.92533,             0.95322,             0.96449,             0.68562,            0.032132,           0.0060919,                   0,             0.00373,             0.00373,             0.00373,             0.68562,             0.96449
                  40,            0.033159,             0.01643,                   0,             0.94612,             0.96476,              0.9667,             0.60569,            0.033096,           0.0060264,                   0,            0.003565,            0.003565,            0.003565,             0.60569,              0.9667
                  41,            0.032621,            0.015407,                   0,             0.93613,             0.96642,             0.96705,             0.67278,             0.02997,           0.0059784,                   0,              0.0034,              0.0034,              0.0034,             0.67278,             0.96705
                  42,            0.035329,            0.015233,                   0,             0.93585,             0.96703,             0.96806,             0.70948,            0.029256,           0.0058582,                   0,            0.003235,            0.003235,            0.003235,             0.70948,             0.96806
                  43,            0.025707,            0.015183,                   0,             0.93597,             0.96376,             0.96741,             0.73274,            0.029804,           0.0057204,                   0,             0.00307,             0.00307,             0.00307,             0.73274,             0.96741
                  44,            0.031561,            0.013102,                   0,             0.94651,             0.94505,             0.96886,             0.68767,            0.031502,           0.0057105,                   0,            0.002905,            0.002905,            0.002905,             0.68767,             0.96886
                  45,            0.031174,            0.017122,                   0,             0.95261,             0.95604,             0.97032,             0.72381,            0.029626,           0.0056309,                   0,             0.00274,             0.00274,             0.00274,             0.72381,             0.97032
                  46,            0.030397,            0.015995,                   0,             0.96604,             0.93775,              0.9684,             0.62323,            0.034401,           0.0056394,                   0,            0.002575,            0.002575,            0.002575,             0.62323,              0.9684
